Pos,Name,Value
8,Denmark,8.70
19,Cyprus,7.30
20,Sweden,7.00
23,Malta,6.90
27,Finland,6.80
30,Belgium,6.60
31,Ireland,6.40
36,United Kingdom,6.20
43,France,5.90
44,Austria,5.90
45,Netherlands,5.90
51,Slovenia,5.70
52,Estonia,5.70
55,Portugal,5.60
61,Lithuania,5.40
65,Poland,5.20
74,Germany,5.10
77,Latvia,5.00
80,Spain,5.00
81,Hungary,4.90
93,Italy,4.50
99,Croatia,4.30
103,Slovakia,4.20
104,Romania,4.20
106,Czech Republic,4.20
108,Bulgaria,4.10
111,Greece,4.10
118,Luxembourg,3.70
