id,rate,countryName
GR,48.6,Greece (GR)
ES,46,Spain (ES)
HR,44.1,Croatia (HR)
IT,37.9,Italy (IT)
CY,31.7,Cyprus (CY)
PT,31,Portugal (PT)
FR,25.9,France (FR)
SK,24.7,Slovakia (SK)
BE,22.7,Belgium (BE)
FI,22.1,Finland (FI)
RO,21.2,Romania (RO)
BG,21,Bulgaria (BG)
PL,20.5,Poland (PL)
IE,19.2,Ireland (IE)
SE,18.8,Sweden (SE)
LV,18.2,Latvia (LV)
EE,17.1,Estonia (EE)
HU,15.7,Hungary (HU)
SI,15,Slovenia (SI)
LU,14.7,Luxemburg (LU)
LT,14.3,Lithuania (LT)
GB,13.5,Utd Kingdom (GB)
MT,12.6,Malta (MT)
AT,11.2,Austria (AT)
NL,11.2,Netherland (NL)
CZ,10.9,Czech (CZ)
DK,10.3,Denmark (DK)
DE,7,Germany (DE)
