Pos,Name,Value
3,Greece,55.3
5,Spain,53.2
9,Croatia,43.1
16,Portugal,37.6
17,Italy,35.3
21,Slovakia,34.0
28,Latvia,28.4
30,Bulgaria,28.1
31,Hungary,28.1
32,Cyprus,27.8
34,Poland,26.5
35,Lithuania,26.4
38,Ireland,24.0
39,France,23.8
40,Sweden,23.7
45,Romania,22.7
52,United Kingdom,21.0
53,Estonia,20.9
54,Slovenia,20.6
55,Belgium,19.8
57,Czech Republic,19.5
59,Luxembourg,18.8
65,Finland,17.7
82,Malta,14.2
84,Denmark,14.2
102,Netherlands,9.5
108,Austria,8.7
112,Germany,8.1
