"TIME","GEO","SEX","WSTATUS","UNIT","AGE","Value","Flag and Footnotes"
"2006","European Union (28 countries)","Total","Population","Percentage","From 18 to 24 years","15.3","b"
"2006","European Union (28 countries)","Males","Population","Percentage","From 18 to 24 years","17.4","b"
"2006","European Union (28 countries)","Females","Population","Percentage","From 18 to 24 years","13.2","b"
"2006","European Union (27 countries)","Total","Population","Percentage","From 18 to 24 years","15.4","b"
"2006","European Union (27 countries)","Males","Population","Percentage","From 18 to 24 years","17.5","b"
"2006","European Union (27 countries)","Females","Population","Percentage","From 18 to 24 years","13.3","b"
"2006","European Union (15 countries)","Total","Population","Percentage","From 18 to 24 years","17.2","b"
"2006","European Union (15 countries)","Males","Population","Percentage","From 18 to 24 years","19.6","b"
"2006","European Union (15 countries)","Females","Population","Percentage","From 18 to 24 years","14.7","b"
"2006","Euro area (19 countries)","Total","Population","Percentage","From 18 to 24 years","17.2","b"
"2006","Euro area (19 countries)","Males","Population","Percentage","From 18 to 24 years","20.0","b"
"2006","Euro area (19 countries)","Females","Population","Percentage","From 18 to 24 years","14.4","b"
"2006","Euro area (18 countries)","Total","Population","Percentage","From 18 to 24 years","17.3","b"
"2006","Euro area (18 countries)","Males","Population","Percentage","From 18 to 24 years","20.1","b"
"2006","Euro area (18 countries)","Females","Population","Percentage","From 18 to 24 years","14.5","b"
"2006","Euro area (17 countries)","Total","Population","Percentage","From 18 to 24 years","17.3","b"
"2006","Euro area (17 countries)","Males","Population","Percentage","From 18 to 24 years","20.1","b"
"2006","Euro area (17 countries)","Females","Population","Percentage","From 18 to 24 years","14.6","b"
"2006","Belgium","Total","Population","Percentage","From 18 to 24 years","12.6","b"
"2006","Belgium","Males","Population","Percentage","From 18 to 24 years","15.1","b"
"2006","Belgium","Females","Population","Percentage","From 18 to 24 years","10.0","b"
"2006","Bulgaria","Total","Population","Percentage","From 18 to 24 years","17.3","b"
"2006","Bulgaria","Males","Population","Percentage","From 18 to 24 years","17.7","b"
"2006","Bulgaria","Females","Population","Percentage","From 18 to 24 years","17.0","b"
"2006","Czech Republic","Total","Population","Percentage","From 18 to 24 years","5.1","b"
"2006","Czech Republic","Males","Population","Percentage","From 18 to 24 years","5.4","b"
"2006","Czech Republic","Females","Population","Percentage","From 18 to 24 years","4.9","b"
"2006","Denmark","Total","Population","Percentage","From 18 to 24 years","9.1",""
"2006","Denmark","Males","Population","Percentage","From 18 to 24 years","10.5",""
"2006","Denmark","Females","Population","Percentage","From 18 to 24 years","7.7",""
"2006","Germany (until 1990 former territory of the FRG)","Total","Population","Percentage","From 18 to 24 years","13.7",""
"2006","Germany (until 1990 former territory of the FRG)","Males","Population","Percentage","From 18 to 24 years","14.0",""
"2006","Germany (until 1990 former territory of the FRG)","Females","Population","Percentage","From 18 to 24 years","13.4",""
"2006","Estonia","Total","Population","Percentage","From 18 to 24 years","13.4",""
"2006","Estonia","Males","Population","Percentage","From 18 to 24 years","19.5",""
"2006","Estonia","Females","Population","Percentage","From 18 to 24 years","6.9",""
"2006","Ireland","Total","Population","Percentage","From 18 to 24 years","12.2","b"
"2006","Ireland","Males","Population","Percentage","From 18 to 24 years","15.2","b"
"2006","Ireland","Females","Population","Percentage","From 18 to 24 years","9.1","b"
"2006","Greece","Total","Population","Percentage","From 18 to 24 years","15.1","b"
"2006","Greece","Males","Population","Percentage","From 18 to 24 years","19.6","b"
"2006","Greece","Females","Population","Percentage","From 18 to 24 years","10.6","b"
"2006","Spain","Total","Population","Percentage","From 18 to 24 years","30.3","b"
"2006","Spain","Males","Population","Percentage","From 18 to 24 years","36.7","b"
"2006","Spain","Females","Population","Percentage","From 18 to 24 years","23.6","b"
"2006","France","Total","Population","Percentage","From 18 to 24 years","12.7",""
"2006","France","Males","Population","Percentage","From 18 to 24 years","14.6",""
"2006","France","Females","Population","Percentage","From 18 to 24 years","10.8",""
"2006","Croatia","Total","Population","Percentage","From 18 to 24 years","4.7","bu"
"2006","Croatia","Males","Population","Percentage","From 18 to 24 years","5.3","bu"
"2006","Croatia","Females","Population","Percentage","From 18 to 24 years","4.1","bu"
"2006","Italy","Total","Population","Percentage","From 18 to 24 years","20.4","b"
"2006","Italy","Males","Population","Percentage","From 18 to 24 years","23.8","b"
