<<<<<<< HEAD
TIME,GEO,Value
2006,Belgium,12.6
2006,Bulgaria,17.3
2006,Czech Republic,5.1
2006,Denmark,9.1
2006,Germany,13.7
2006,Estonia,13.4
2006,Ireland,12.2
2006,Greece,15.1
2006,Spain,30.3
2006,France,12.7
2006,Croatia,4.7
2006,Italy,20.4
2006,Cyprus,14.9
2006,Latvia,15.6
2006,Lithuania,8.8
2006,Luxembourg,14.0
2006,Hungary,12.5
2006,Malta,32.2
2006,Netherlands,12.6
2006,Austria,10.0
2006,Poland,5.4
2006,Portugal,38.5
2006,Romania,17.9
2006,Slovenia,5.6
2006,Slovakia,6.6
2006,Finland,9.7
2006,Sweden,8.6
2006,United Kingdom,11.3
2006,Iceland,25.6
2006,Norway,17.8
2006,Switzerland,9.6
2006,"Former Yugoslav Republic of Macedonia, the",22.8
2006,Turkey,48.8
2007,Belgium,12.1
2007,Bulgaria,14.9
2007,Czech Republic,5.2
2007,Denmark,12.9
2007,Germany,12.5
2007,Estonia,14.4
2007,Ireland,11.8
2007,Greece,14.3
2007,Spain,30.8
2007,France,12.8
2007,Croatia,4.5
2007,Italy,19.5
2007,Cyprus,12.5
2007,Latvia,15.6
2007,Lithuania,7.8
2007,Luxembourg,12.5
2007,Hungary,11.4
2007,Malta,30.2
2007,Netherlands,11.7
2007,Austria,10.8
2007,Poland,5.0
2007,Portugal,36.5
2007,Romania,17.3
2007,Slovenia,4.1
2007,Slovakia,6.5
2007,Finland,9.1
2007,Sweden,8.0
2007,United Kingdom,16.6
2007,Iceland,23.2
2007,Norway,18.4
2007,Switzerland,7.6
2007,"Former Yugoslav Republic of Macedonia, the",19.9
2007,Turkey,46.9
2008,Belgium,12.0
2008,Bulgaria,14.8
2008,Czech Republic,5.6
2008,Denmark,12.5
2008,Germany,11.8
2008,Estonia,14.0
2008,Ireland,11.4
2008,Greece,14.4
2008,Spain,31.7
2008,France,11.8
2008,Croatia,4.4
2008,Italy,19.6
2008,Cyprus,13.7
2008,Latvia,15.5
2008,Lithuania,7.5
2008,Luxembourg,13.4
2008,Hungary,11.7
2008,Malta,27.2
2008,Netherlands,11.4
2008,Austria,10.2
2008,Poland,5.0
2008,Portugal,34.9
2008,Romania,15.9
2008,Slovenia,5.1
2008,Slovakia,6.0
2008,Finland,9.8
2008,Sweden,7.9
2008,United Kingdom,16.9
2008,Iceland,24.4
2008,Norway,17.0
2008,Switzerland,7.7
2008,"Former Yugoslav Republic of Macedonia, the",19.6
2008,Turkey,45.5
2009,Belgium,11.1
2009,Bulgaria,14.7
2009,Czech Republic,5.4
2009,Denmark,11.3
2009,Germany,11.1
2009,Estonia,13.5
2009,Ireland,11.7
2009,Greece,14.2
2009,Spain,30.9
2009,France,12.4
2009,Croatia,5.2
2009,Italy,19.1
2009,Cyprus,11.7
2009,Latvia,14.3
2009,Lithuania,8.7
2009,Luxembourg,7.7
2009,Hungary,11.5
2009,Malta,25.7
2009,Netherlands,10.9
2009,Austria,8.8
2009,Poland,5.3
2009,Portugal,30.9
2009,Romania,16.6
2009,Slovenia,5.3
2009,Slovakia,4.9
2009,Finland,9.9
2009,Sweden,7.0
2009,United Kingdom,15.7
2009,Iceland,21.3
2009,Norway,17.6
2009,Switzerland,9.1
2009,"Former Yugoslav Republic of Macedonia, the",16.2
2009,Turkey,44.3
2010,Belgium,11.9
2010,Bulgaria,13.9
2010,Czech Republic,4.9
2010,Denmark,11.0
2010,Germany,11.9
2010,Estonia,11.0
2010,Ireland,11.5
2010,Greece,13.5
2010,Spain,28.2
2010,France,12.7
2010,Croatia,5.2
2010,Italy,18.6
2010,Cyprus,12.7
2010,Latvia,12.9
2010,Lithuania,7.9
2010,Luxembourg,7.1
2010,Hungary,10.8
2010,Malta,23.8
2010,Netherlands,10.0
2010,Austria,8.3
2010,Poland,5.4
2010,Portugal,28.3
2010,Romania,19.3
2010,Slovenia,5.0
2010,Slovakia,4.7
2010,Finland,10.3
2010,Sweden,6.5
2010,United Kingdom,14.8
2010,Iceland,22.6
2010,Norway,17.4
2010,Switzerland,6.6
2010,"Former Yugoslav Republic of Macedonia, the",15.5
2010,Turkey,43.1
2011,Belgium,12.3
2011,Bulgaria,11.8
2011,Czech Republic,4.9
2011,Denmark,9.6
2011,Germany,11.6
2011,Estonia,10.6
2011,Ireland,10.8
2011,Greece,12.9
2011,Spain,26.3
2011,France,12.3
2011,Croatia,5.0
2011,Italy,17.8
2011,Cyprus,11.3
2011,Latvia,11.6
2011,Lithuania,7.4
2011,Luxembourg,6.2
2011,Hungary,11.4
2011,Malta,22.7
2011,Netherlands,9.2
2011,Austria,8.5
2011,Poland,5.6
2011,Portugal,23.0
2011,Romania,18.1
2011,Slovenia,4.2
2011,Slovakia,5.1
2011,Finland,9.8
2011,Sweden,6.6
2011,United Kingdom,14.9
2011,Iceland,19.7
2011,Norway,16.6
2011,Switzerland,6.3
2011,"Former Yugoslav Republic of Macedonia, the",13.5
2011,Turkey,41.9
2012,Belgium,12.0
2012,Bulgaria,12.5
2012,Czech Republic,5.5
2012,Denmark,9.1
2012,Germany,10.5
2012,Estonia,10.3
2012,Ireland,9.7
2012,Greece,11.3
2012,Spain,24.7
2012,France,11.8
2012,Croatia,5.1
2012,Italy,17.3
2012,Cyprus,11.4
2012,Latvia,10.6
2012,Lithuania,6.5
2012,Luxembourg,8.1
2012,Hungary,11.8
2012,Malta,21.1
2012,Netherlands,8.9
2012,Austria,7.8
2012,Poland,5.7
2012,Portugal,20.5
2012,Romania,17.8
2012,Slovenia,4.4
2012,Slovakia,5.3
2012,Finland,8.9
2012,Sweden,7.5
2012,United Kingdom,13.4
2012,Iceland,20.1
2012,Norway,14.8
2012,Switzerland,5.5
2012,"Former Yugoslav Republic of Macedonia, the",11.7
2012,Turkey,39.6
2013,Belgium,11.0
2013,Bulgaria,12.5
2013,Czech Republic,5.4
2013,Denmark,8.0
2013,Germany,9.8
2013,Estonia,9.7
2013,Ireland,8.4
2013,Greece,10.1
2013,Spain,23.6
2013,France,9.7
2013,Croatia,4.5
2013,Italy,16.8
2013,Cyprus,9.1
2013,Latvia,9.8
2013,Lithuania,6.3
2013,Luxembourg,6.1
2013,Hungary,11.9
2013,Malta,20.5
2013,Netherlands,9.3
2013,Austria,7.5
2013,Poland,5.6
2013,Portugal,18.9
2013,Romania,17.3
2013,Slovenia,3.9
2013,Slovakia,6.4
2013,Finland,9.3
2013,Sweden,7.1
2013,United Kingdom,12.3
2013,Iceland,20.5
2013,Norway,13.7
2013,Switzerland,5.4
2013,"Former Yugoslav Republic of Macedonia, the",11.4
2013,Turkey,37.5
2014,Belgium,9.8
2014,Bulgaria,12.9
2014,Czech Republic,5.5
2014,Denmark,7.8
2014,Germany,9.5
2014,Estonia,11.4
2014,Ireland,6.9
2014,Greece,9.0
2014,Spain,21.9
2014,France,9.0
2014,Croatia,2.7
2014,Italy,15.0
2014,Cyprus,6.8
2014,Latvia,8.5
2014,Lithuania,5.9
2014,Luxembourg,6.1
2014,Hungary,11.4
2014,Malta,20.3
2014,Netherlands,8.7
2014,Austria,7.0
2014,Poland,5.4
2014,Portugal,17.4
2014,Romania,18.1
2014,Slovenia,4.4
2014,Slovakia,6.7
2014,Finland,9.5
2014,Sweden,6.7
2014,United Kingdom,11.8
2014,Iceland,19.0
2014,Norway,11.7
2014,Switzerland,5.4
2014,"Former Yugoslav Republic of Macedonia, the",12.5
2014,Turkey,38.3
2015,Belgium,10.0
2015,Bulgaria,13.1
2015,Czech Republic,5.8
2015,Denmark,7.6
2015,Germany,9.6
2015,Estonia,11.8
2015,Ireland,6.9
2015,Greece,8.3
2015,Spain,20.3
2015,France,9.2
2015,Croatia,3.0
2015,Italy,14.6
2015,Cyprus,5.4
2015,Latvia,9.5
2015,Lithuania,5.5
2015,Luxembourg,8.6
2015,Hungary,11.6
2015,Malta,20.1
2015,Netherlands,8.3
2015,Austria,7.3
2015,Poland,5.3
2015,Portugal,14.4
2015,Romania,18.9
2015,Slovenia,5.4
2015,Slovakia,7.1
2015,Finland,9.3
2015,Sweden,6.6
2015,United Kingdom,11.0
2015,Iceland,19.3
2015,Norway,10.6
2015,Switzerland,5.1
2015,"Former Yugoslav Republic of Macedonia, the",11.3
2015,Turkey,36.6
=======
TIME,GEO,Value
2006,Belgium,12.6
2006,Bulgaria,17.3
2006,Czech Republic,5.1
2006,Denmark,9.1
2006,Germany,13.7
2006,Estonia,13.4
2006,Ireland,12.2
2006,Greece,15.1
2006,Spain,30.3
2006,France,12.7
2006,Croatia,4.7
2006,Italy,20.4
2006,Cyprus,14.9
2006,Latvia,15.6
2006,Lithuania,8.8
2006,Luxembourg,14.0
2006,Hungary,12.5
2006,Malta,32.2
2006,Netherlands,12.6
2006,Austria,10.0
2006,Poland,5.4
2006,Portugal,38.5
2006,Romania,17.9
2006,Slovenia,5.6
2006,Slovakia,6.6
2006,Finland,9.7
2006,Sweden,8.6
2006,United Kingdom,11.3
2006,Iceland,25.6
2006,Norway,17.8
2006,Switzerland,9.6
2006,"Former Yugoslav Republic of Macedonia, the",22.8
2006,Turkey,48.8
2007,Belgium,12.1
2007,Bulgaria,14.9
2007,Czech Republic,5.2
2007,Denmark,12.9
2007,Germany,12.5
2007,Estonia,14.4
2007,Ireland,11.8
2007,Greece,14.3
2007,Spain,30.8
2007,France,12.8
2007,Croatia,4.5
2007,Italy,19.5
2007,Cyprus,12.5
2007,Latvia,15.6
2007,Lithuania,7.8
2007,Luxembourg,12.5
2007,Hungary,11.4
2007,Malta,30.2
2007,Netherlands,11.7
2007,Austria,10.8
2007,Poland,5.0
2007,Portugal,36.5
2007,Romania,17.3
2007,Slovenia,4.1
2007,Slovakia,6.5
2007,Finland,9.1
2007,Sweden,8.0
2007,United Kingdom,16.6
2007,Iceland,23.2
2007,Norway,18.4
2007,Switzerland,7.6
2007,"Former Yugoslav Republic of Macedonia, the",19.9
2007,Turkey,46.9
2008,Belgium,12.0
2008,Bulgaria,14.8
2008,Czech Republic,5.6
2008,Denmark,12.5
2008,Germany,11.8
2008,Estonia,14.0
2008,Ireland,11.4
2008,Greece,14.4
2008,Spain,31.7
2008,France,11.8
2008,Croatia,4.4
2008,Italy,19.6
2008,Cyprus,13.7
2008,Latvia,15.5
2008,Lithuania,7.5
2008,Luxembourg,13.4
2008,Hungary,11.7
2008,Malta,27.2
2008,Netherlands,11.4
2008,Austria,10.2
2008,Poland,5.0
2008,Portugal,34.9
2008,Romania,15.9
2008,Slovenia,5.1
2008,Slovakia,6.0
2008,Finland,9.8
2008,Sweden,7.9
2008,United Kingdom,16.9
2008,Iceland,24.4
2008,Norway,17.0
2008,Switzerland,7.7
2008,"Former Yugoslav Republic of Macedonia, the",19.6
2008,Turkey,45.5
2009,Belgium,11.1
2009,Bulgaria,14.7
2009,Czech Republic,5.4
2009,Denmark,11.3
2009,Germany,11.1
2009,Estonia,13.5
2009,Ireland,11.7
2009,Greece,14.2
2009,Spain,30.9
2009,France,12.4
2009,Croatia,5.2
2009,Italy,19.1
2009,Cyprus,11.7
2009,Latvia,14.3
2009,Lithuania,8.7
2009,Luxembourg,7.7
2009,Hungary,11.5
2009,Malta,25.7
2009,Netherlands,10.9
2009,Austria,8.8
2009,Poland,5.3
2009,Portugal,30.9
2009,Romania,16.6
2009,Slovenia,5.3
2009,Slovakia,4.9
2009,Finland,9.9
2009,Sweden,7.0
2009,United Kingdom,15.7
2009,Iceland,21.3
2009,Norway,17.6
2009,Switzerland,9.1
2009,"Former Yugoslav Republic of Macedonia, the",16.2
2009,Turkey,44.3
2010,Belgium,11.9
2010,Bulgaria,13.9
2010,Czech Republic,4.9
2010,Denmark,11.0
2010,Germany,11.9
2010,Estonia,11.0
2010,Ireland,11.5
2010,Greece,13.5
2010,Spain,28.2
2010,France,12.7
2010,Croatia,5.2
2010,Italy,18.6
2010,Cyprus,12.7
2010,Latvia,12.9
2010,Lithuania,7.9
2010,Luxembourg,7.1
2010,Hungary,10.8
2010,Malta,23.8
2010,Netherlands,10.0
2010,Austria,8.3
2010,Poland,5.4
2010,Portugal,28.3
2010,Romania,19.3
2010,Slovenia,5.0
2010,Slovakia,4.7
2010,Finland,10.3
2010,Sweden,6.5
2010,United Kingdom,14.8
2010,Iceland,22.6
2010,Norway,17.4
2010,Switzerland,6.6
2010,"Former Yugoslav Republic of Macedonia, the",15.5
2010,Turkey,43.1
2011,Belgium,12.3
2011,Bulgaria,11.8
2011,Czech Republic,4.9
2011,Denmark,9.6
2011,Germany,11.6
2011,Estonia,10.6
2011,Ireland,10.8
2011,Greece,12.9
2011,Spain,26.3
2011,France,12.3
2011,Croatia,5.0
2011,Italy,17.8
2011,Cyprus,11.3
2011,Latvia,11.6
2011,Lithuania,7.4
2011,Luxembourg,6.2
2011,Hungary,11.4
2011,Malta,22.7
2011,Netherlands,9.2
2011,Austria,8.5
2011,Poland,5.6
2011,Portugal,23.0
2011,Romania,18.1
2011,Slovenia,4.2
2011,Slovakia,5.1
2011,Finland,9.8
2011,Sweden,6.6
2011,United Kingdom,14.9
2011,Iceland,19.7
2011,Norway,16.6
2011,Switzerland,6.3
2011,"Former Yugoslav Republic of Macedonia, the",13.5
2011,Turkey,41.9
2012,Belgium,12.0
2012,Bulgaria,12.5
2012,Czech Republic,5.5
2012,Denmark,9.1
2012,Germany,10.5
2012,Estonia,10.3
2012,Ireland,9.7
2012,Greece,11.3
2012,Spain,24.7
2012,France,11.8
2012,Croatia,5.1
2012,Italy,17.3
2012,Cyprus,11.4
2012,Latvia,10.6
2012,Lithuania,6.5
2012,Luxembourg,8.1
2012,Hungary,11.8
2012,Malta,21.1
2012,Netherlands,8.9
2012,Austria,7.8
2012,Poland,5.7
2012,Portugal,20.5
2012,Romania,17.8
2012,Slovenia,4.4
2012,Slovakia,5.3
2012,Finland,8.9
2012,Sweden,7.5
2012,United Kingdom,13.4
2012,Iceland,20.1
2012,Norway,14.8
2012,Switzerland,5.5
2012,"Former Yugoslav Republic of Macedonia, the",11.7
2012,Turkey,39.6
2013,Belgium,11.0
2013,Bulgaria,12.5
2013,Czech Republic,5.4
2013,Denmark,8.0
2013,Germany,9.8
2013,Estonia,9.7
2013,Ireland,8.4
2013,Greece,10.1
2013,Spain,23.6
2013,France,9.7
2013,Croatia,4.5
2013,Italy,16.8
2013,Cyprus,9.1
2013,Latvia,9.8
2013,Lithuania,6.3
2013,Luxembourg,6.1
2013,Hungary,11.9
2013,Malta,20.5
2013,Netherlands,9.3
2013,Austria,7.5
2013,Poland,5.6
2013,Portugal,18.9
2013,Romania,17.3
2013,Slovenia,3.9
2013,Slovakia,6.4
2013,Finland,9.3
2013,Sweden,7.1
2013,United Kingdom,12.3
2013,Iceland,20.5
2013,Norway,13.7
2013,Switzerland,5.4
2013,"Former Yugoslav Republic of Macedonia, the",11.4
2013,Turkey,37.5
2014,Belgium,9.8
2014,Bulgaria,12.9
2014,Czech Republic,5.5
2014,Denmark,7.8
2014,Germany,9.5
2014,Estonia,11.4
2014,Ireland,6.9
2014,Greece,9.0
2014,Spain,21.9
2014,France,9.0
2014,Croatia,2.7
2014,Italy,15.0
2014,Cyprus,6.8
2014,Latvia,8.5
2014,Lithuania,5.9
2014,Luxembourg,6.1
2014,Hungary,11.4
2014,Malta,20.3
2014,Netherlands,8.7
2014,Austria,7.0
2014,Poland,5.4
2014,Portugal,17.4
2014,Romania,18.1
2014,Slovenia,4.4
2014,Slovakia,6.7
2014,Finland,9.5
2014,Sweden,6.7
2014,United Kingdom,11.8
2014,Iceland,19.0
2014,Norway,11.7
2014,Switzerland,5.4
2014,"Former Yugoslav Republic of Macedonia, the",12.5
2014,Turkey,38.3
2015,Belgium,10.0
2015,Bulgaria,13.1
2015,Czech Republic,5.8
2015,Denmark,7.6
2015,Germany,9.6
2015,Estonia,11.8
2015,Ireland,6.9
2015,Greece,8.3
2015,Spain,20.3
2015,France,9.2
2015,Croatia,3.0
2015,Italy,14.6
2015,Cyprus,5.4
2015,Latvia,9.5
2015,Lithuania,5.5
2015,Luxembourg,8.6
2015,Hungary,11.6
2015,Malta,20.1
2015,Netherlands,8.3
2015,Austria,7.3
2015,Poland,5.3
2015,Portugal,14.4
2015,Romania,18.9
2015,Slovenia,5.4
2015,Slovakia,7.1
2015,Finland,9.3
2015,Sweden,6.6
2015,United Kingdom,11.0
2015,Iceland,19.3
2015,Norway,10.6
2015,Switzerland,5.1
2015,"Former Yugoslav Republic of Macedonia, the",11.3
2015,Turkey,36.6
>>>>>>> 9c6179c7c411d383c37cd9217526b7aad435238e
