TIME,GEO,UNIT,NA_ITEM,Value,Flag and Footnotes
2006,European Union (28 countries),"Current prices, million euro",Gross domestic product at market prices,"12,182,659.00",
2006,European Union (28 countries),"Chain linked volumes (2010), million euro",Gross domestic product at market prices,"12,656,627.50",
2006,European Union (28 countries),"Chain linked volumes, index 2010=100",Gross domestic product at market prices,98.9,
2006,European Union (15 countries),"Current prices, million euro",Gross domestic product at market prices,"11,374,866.40",
2006,European Union (15 countries),"Chain linked volumes (2010), million euro",Gross domestic product at market prices,"11,714,612.80",
2006,European Union (15 countries),"Chain linked volumes, index 2010=100",Gross domestic product at market prices,99.5,
2006,"Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)","Current prices, million euro",Gross domestic product at market prices,"8,751,087.90",
2006,"Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)","Chain linked volumes (2010), million euro",Gross domestic product at market prices,"9,278,163.90",
2006,"Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)","Chain linked volumes, index 2010=100",Gross domestic product at market prices,99.2,
2006,Euro area (19 countries),"Current prices, million euro",Gross domestic product at market prices,"8,904,408.00",
2006,Euro area (19 countries),"Chain linked volumes (2010), million euro",Gross domestic product at market prices,"9,462,392.80",
2006,Euro area (19 countries),"Chain linked volumes, index 2010=100",Gross domestic product at market prices,99.1,
2006,Euro area (18 countries),"Current prices, million euro",Gross domestic product at market prices,"8,880,328.80",
2006,Euro area (18 countries),"Chain linked volumes (2010), million euro",Gross domestic product at market prices,"9,433,659.90",
2006,Euro area (18 countries),"Chain linked volumes, index 2010=100",Gross domestic product at market prices,99.1,
2006,Euro area (12 countries),"Current prices, million euro",Gross domestic product at market prices,"8,751,087.90",
2006,Euro area (12 countries),"Chain linked volumes (2010), million euro",Gross domestic product at market prices,"9,278,163.90",
2006,Euro area (12 countries),"Chain linked volumes, index 2010=100",Gross domestic product at market prices,99.2,
2006,Belgium,"Current prices, million euro",Gross domestic product at market prices,"326,662.00",
2006,Belgium,"Chain linked volumes (2010), million euro",Gross domestic product at market prices,"349,269.10",
2006,Belgium,"Chain linked volumes, index 2010=100",Gross domestic product at market prices,95.7,
2006,Bulgaria,"Current prices, million euro",Gross domestic product at market prices,"27,349.90",
2006,Bulgaria,"Chain linked volumes (2010), million euro",Gross domestic product at market prices,"34,604.20",
2006,Bulgaria,"Chain linked volumes, index 2010=100",Gross domestic product at market prices,91.7,
2006,Czech Republic,"Current prices, million euro",Gross domestic product at market prices,"123,743.20",
2006,Czech Republic,"Chain linked volumes (2010), million euro",Gross domestic product at market prices,"148,204.60",
2006,Czech Republic,"Chain linked volumes, index 2010=100",Gross domestic product at market prices,94.8,
2006,Denmark,"Current prices, million euro",Gross domestic product at market prices,"225,592.00",
2006,Denmark,"Chain linked volumes (2010), million euro",Gross domestic product at market prices,"250,143.10",
2006,Denmark,"Chain linked volumes, index 2010=100",Gross domestic product at market prices,103.6,
2006,Germany (until 1990 former territory of the FRG),"Current prices, million euro",Gross domestic product at market prices,"2,393,250.00",
2006,Germany (until 1990 former territory of the FRG),"Chain linked volumes (2010), million euro",Gross domestic product at market prices,"2,516,332.50",
2006,Germany (until 1990 former territory of the FRG),"Chain linked volumes, index 2010=100",Gross domestic product at market prices,97.5,
2006,Estonia,"Current prices, million euro",Gross domestic product at market prices,"13,521.70",
2006,Estonia,"Chain linked volumes (2010), million euro",Gross domestic product at market prices,"16,529.50",
2006,Estonia,"Chain linked volumes, index 2010=100",Gross domestic product at market prices,112.3,
2006,Ireland,"Current prices, million euro",Gross domestic product at market prices,"184,923.30",
2006,Ireland,"Chain linked volumes (2010), million euro",Gross domestic product at market prices,"169,848.80",
2006,Ireland,"Chain linked volumes, index 2010=100",Gross domestic product at market prices,102.2,
2006,Greece,"Current prices, million euro",Gross domestic product at market prices,"217,861.60",
2006,Greece,"Chain linked volumes (2010), million euro",Gross domestic product at market prices,"242,772.90",
2006,Greece,"Chain linked volumes, index 2010=100",Gross domestic product at market prices,107.4,
2006,Spain,"Current prices, million euro",Gross domestic product at market prices,"1,007,974.00",
2006,Spain,"Chain linked volumes (2010), million euro",Gross domestic product at market prices,"1,068,191.00",
2006,Spain,"Chain linked volumes, index 2010=100",Gross domestic product at market prices,98.8,
2006,France,"Current prices, million euro",Gross domestic product at market prices,"1,853,267.00",
2006,France,"Chain linked volumes (2010), million euro",Gross domestic product at market prices,"1,968,919.00",
2006,France,"Chain linked volumes, index 2010=100",Gross domestic product at market prices,98.5,
2006,Croatia,"Current prices, million euro",Gross domestic product at market prices,"40,197.80",
2006,Croatia,"Chain linked volumes (2010), million euro",Gross domestic product at market prices,"46,066.20",
2006,Croatia,"Chain linked volumes, index 2010=100",Gross domestic product at market prices,102.4,
2006,Italy,"Current prices, million euro",Gross domestic product at market prices,"1,548,473.40",
2006,Italy,"Chain linked volumes (2010), million euro",Gross domestic product at market prices,"1,662,638.10",
2006,Italy,"Chain linked volumes, index 2010=100",Gross domestic product at market prices,103.6,
2006,Cyprus,"Current prices, million euro",Gross domestic product at market prices,"16,140.70",
2006,Cyprus,"Chain linked volumes (2010), million euro",Gross domestic product at market prices,"17,699.30",
2006,Cyprus,"Chain linked volumes, index 2010=100",Gross domestic product at market prices,92.6,
2006,Latvia,"Current prices, million euro",Gross domestic product at market prices,"17,235.00",
2006,Latvia,"Chain linked volumes (2010), million euro",Gross domestic product at market prices,"20,343.40",
2006,Latvia,"Chain linked volumes, index 2010=100",Gross domestic product at market prices,114.5,
2006,Lithuania,"Current prices, million euro",Gross domestic product at market prices,"24,079.20",
2006,Lithuania,"Chain linked volumes (2010), million euro",Gross domestic product at market prices,"28,394.00",
2006,Lithuania,"Chain linked volumes, index 2010=100",Gross domestic product at market prices,101.3,
2006,Luxembourg,"Current prices, million euro",Gross domestic product at market prices,"33,409.30",
2006,Luxembourg,"Chain linked volumes (2010), million euro",Gross domestic product at market prices,"36,776.20",
2006,Luxembourg,"Chain linked volumes, index 2010=100",Gross domestic product at market prices,93,
2006,Hungary,"Current prices, million euro",Gross domestic product at market prices,"91,345.00",
2006,Hungary,"Chain linked volumes (2010), million euro",Gross domestic product at market prices,"103,009.20",
2006,Hungary,"Chain linked volumes, index 2010=100",Gross domestic product at market prices,104.9,
2006,Malta,"Current prices, million euro",Gross domestic product at market prices,"5,386.10",
2006,Malta,"Chain linked volumes (2010), million euro",Gross domestic product at market prices,"6,080.60",
2006,Malta,"Chain linked volumes, index 2010=100",Gross domestic product at market prices,92.1,
2006,Netherlands,"Current prices, million euro",Gross domestic product at market prices,"579,212.00",
2006,Netherlands,"Chain linked volumes (2010), million euro",Gross domestic product at market prices,"613,651.20",
2006,Netherlands,"Chain linked volumes, index 2010=100",Gross domestic product at market prices,97.2,
2006,Austria,"Current prices, million euro",Gross domestic product at market prices,"266,478.00",
2006,Austria,"Chain linked volumes (2010), million euro",Gross domestic product at market prices,"285,548.30",
2006,Austria,"Chain linked volumes, index 2010=100",Gross domestic product at market prices,96.9,
2006,Poland,"Current prices, million euro",Gross domestic product at market prices,"273,417.90",
2006,Poland,"Chain linked volumes (2010), million euro",Gross domestic product at market prices,"304,993.30",
2006,Poland,"Chain linked volumes, index 2010=100",Gross domestic product at market prices,84.3,
2006,Portugal,"Current prices, million euro",Gross domestic product at market prices,"166,248.70",
2006,Portugal,"Chain linked volumes (2010), million euro",Gross domestic product at market prices,"177,219.00",
2006,Portugal,"Chain linked volumes, index 2010=100",Gross domestic product at market prices,98.5,
2006,Romania,"Current prices, million euro",Gross domestic product at market prices,"98,418.60",
2006,Romania,"Chain linked volumes (2010), million euro",Gross domestic product at market prices,"118,653.80",
2006,Romania,"Chain linked volumes, index 2010=100",Gross domestic product at market prices,93.6,
2006,Slovenia,"Current prices, million euro",Gross domestic product at market prices,"31,561.20",
2006,Slovenia,"Chain linked volumes (2010), million euro",Gross domestic product at market prices,"35,156.30",
2006,Slovenia,"Chain linked volumes, index 2010=100",Gross domestic product at market prices,97,
2006,Slovakia,"Current prices, million euro",Gross domestic product at market prices,"45,396.20",
2006,Slovakia,"Chain linked volumes (2010), million euro",Gross domestic product at market prices,"57,945.80",
2006,Slovakia,"Chain linked volumes, index 2010=100",Gross domestic product at market prices,86,
2006,Finland,"Current prices, million euro",Gross domestic product at market prices,"172,614.00",
2006,Finland,"Chain linked volumes (2010), million euro",Gross domestic product at market prices,"186,931.00",
2006,Finland,"Chain linked volumes, index 2010=100",Gross domestic product at market prices,99.9,
2006,Sweden,"Current prices, million euro",Gross domestic product at market prices,"334,876.50",
2006,Sweden,"Chain linked volumes (2010), million euro",Gross domestic product at market prices,"357,159.40",
2006,Sweden,"Chain linked volumes, index 2010=100",Gross domestic product at market prices,96.8,
2006,United Kingdom,"Current prices, million euro",Gross domestic product at market prices,"2,063,309.50",
2006,United Kingdom,"Chain linked volumes (2010), million euro",Gross domestic product at market prices,"1,825,497.70",
2006,United Kingdom,"Chain linked volumes, index 2010=100",Gross domestic product at market prices,100.7,
2006,Iceland,"Current prices, million euro",Gross domestic product at market prices,"13,627.60",
2006,Iceland,"Chain linked volumes (2010), million euro",Gross domestic product at market prices,"9,788.50",
2006,Iceland,"Chain linked volumes, index 2010=100",Gross domestic product at market prices,97.9,
2006,Norway,"Current prices, million euro",Gross domestic product at market prices,"275,289.80",
2006,Norway,"Chain linked volumes (2010), million euro",Gross domestic product at market prices,"316,433.60",
2006,Norway,"Chain linked volumes, index 2010=100",Gross domestic product at market prices,97.8,
2006,Switzerland,"Current prices, million euro",Gross domestic product at market prices,"342,123.10",
2006,Switzerland,"Chain linked volumes (2010), million euro",Gross domestic product at market prices,"409,177.50",
2006,Switzerland,"Chain linked volumes, index 2010=100",Gross domestic product at market prices,93.2,
2006,Montenegro,"Current prices, million euro",Gross domestic product at market prices,:,
2006,Montenegro,"Chain linked volumes (2010), million euro",Gross domestic product at market prices,:,
2006,Montenegro,"Chain linked volumes, index 2010=100",Gross domestic product at market prices,:,
2006,"Former Yugoslav Republic of Macedonia, the","Current prices, million euro",Gross domestic product at market prices,"5,472.20",
2006,"Former Yugoslav Republic of Macedonia, the","Chain linked volumes (2010), million euro",Gross domestic product at market prices,"6,146.10",
2006,"Former Yugoslav Republic of Macedonia, the","Chain linked volumes, index 2010=100",Gross domestic product at market prices,86.5,
2006,Albania,"Current prices, million euro",Gross domestic product at market prices,:,
2006,Albania,"Chain linked volumes (2010), million euro",Gross domestic product at market prices,:,
2006,Albania,"Chain linked volumes, index 2010=100",Gross domestic product at market prices,:,
2006,Serbia,"Current prices, million euro",Gross domestic product at market prices,"24,434.60",
2006,Serbia,"Chain linked volumes (2010), million euro",Gross domestic product at market prices,"27,377.20",
2006,Serbia,"Chain linked volumes, index 2010=100",Gross domestic product at market prices,92,
2006,Kosovo (under United Nations Security Council Resolution 1244/99),"Current prices, million euro",Gross domestic product at market prices,:,
2006,Kosovo (under United Nations Security Council Resolution 1244/99),"Chain linked volumes (2010), million euro",Gross domestic product at market prices,:,
2006,Kosovo (under United Nations Security Council Resolution 1244/99),"Chain linked volumes, index 2010=100",Gross domestic product at market prices,:,
2007,European Union (28 countries),"Current prices, million euro",Gross domestic product at market prices,"12,915,385.90",
2007,European Union (28 countries),"Chain linked volumes (2010), million euro",Gross domestic product at market prices,"13,047,354.00",
2007,European Union (28 countries),"Chain linked volumes, index 2010=100",Gross domestic product at market prices,102,
2007,European Union (15 countries),"Current prices, million euro",Gross domestic product at market prices,"11,977,703.80",
2007,European Union (15 countries),"Chain linked volumes (2010), million euro",Gross domestic product at market prices,"12,049,004.70",
2007,European Union (15 countries),"Chain linked volumes, index 2010=100",Gross domestic product at market prices,102.3,
2007,"Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)","Current prices, million euro",Gross domestic product at market prices,"9,254,070.60",
2007,"Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)","Chain linked volumes (2010), million euro",Gross domestic product at market prices,"9,589,409.40",
2007,"Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)","Chain linked volumes, index 2010=100",Gross domestic product at market prices,102.1,
2007,Euro area (19 countries),"Current prices, million euro",Gross domestic product at market prices,"9,401,299.00",
2007,Euro area (19 countries),"Chain linked volumes (2010), million euro",Gross domestic product at market prices,"9,751,043.10",
2007,Euro area (19 countries),"Chain linked volumes, index 2010=100",Gross domestic product at market prices,102.2,
2007,Euro area (18 countries),"Current prices, million euro",Gross domestic product at market prices,"9,372,258.30",
2007,Euro area (18 countries),"Chain linked volumes (2010), million euro",Gross domestic product at market prices,"9,719,378.20",
2007,Euro area (18 countries),"Chain linked volumes, index 2010=100",Gross domestic product at market prices,102.1,
2007,Euro area (12 countries),"Current prices, million euro",Gross domestic product at market prices,"9,218,918.00",
2007,Euro area (12 countries),"Chain linked volumes (2010), million euro",Gross domestic product at market prices,"9,551,782.40",
2007,Euro area (12 countries),"Chain linked volumes, index 2010=100",Gross domestic product at market prices,102.1,
2007,Belgium,"Current prices, million euro",Gross domestic product at market prices,"344,713.00",
2007,Belgium,"Chain linked volumes (2010), million euro",Gross domestic product at market prices,"361,135.40",
2007,Belgium,"Chain linked volumes, index 2010=100",Gross domestic product at market prices,98.9,
2007,Bulgaria,"Current prices, million euro",Gross domestic product at market prices,"32,708.00",
2007,Bulgaria,"Chain linked volumes (2010), million euro",Gross domestic product at market prices,"37,260.20",
2007,Bulgaria,"Chain linked volumes, index 2010=100",Gross domestic product at market prices,98.8,
2007,Czech Republic,"Current prices, million euro",Gross domestic product at market prices,"138,004.00",
2007,Czech Republic,"Chain linked volumes (2010), million euro",Gross domestic product at market prices,"156,399.30",
2007,Czech Republic,"Chain linked volumes, index 2010=100",Gross domestic product at market prices,100,
2007,Denmark,"Current prices, million euro",Gross domestic product at market prices,"233,439.50",
2007,Denmark,"Chain linked volumes (2010), million euro",Gross domestic product at market prices,"252,205.40",
2007,Denmark,"Chain linked volumes, index 2010=100",Gross domestic product at market prices,104.4,
2007,Germany (until 1990 former territory of the FRG),"Current prices, million euro",Gross domestic product at market prices,"2,513,230.00",
2007,Germany (until 1990 former territory of the FRG),"Chain linked volumes (2010), million euro",Gross domestic product at market prices,"2,598,378.40",
2007,Germany (until 1990 former territory of the FRG),"Chain linked volumes, index 2010=100",Gross domestic product at market prices,100.7,
2007,Estonia,"Current prices, million euro",Gross domestic product at market prices,"16,246.40",
2007,Estonia,"Chain linked volumes (2010), million euro",Gross domestic product at market prices,"17,810.30",
2007,Estonia,"Chain linked volumes, index 2010=100",Gross domestic product at market prices,121,
2007,Ireland,"Current prices, million euro",Gross domestic product at market prices,"197,053.70",
2007,Ireland,"Chain linked volumes (2010), million euro",Gross domestic product at market prices,"179,263.10",
2007,Ireland,"Chain linked volumes, index 2010=100",Gross domestic product at market prices,107.9,
2007,Greece,"Current prices, million euro",Gross domestic product at market prices,"232,694.60",
2007,Greece,"Chain linked volumes (2010), million euro",Gross domestic product at market prices,"250,720.70",
2007,Greece,"Chain linked volumes, index 2010=100",Gross domestic product at market prices,110.9,
2007,Spain,"Current prices, million euro",Gross domestic product at market prices,"1,080,807.00",
