TIME,GEO,SEX,UNIT,AGE,C_BIRTH,Value,Flag and Footnotes
2006,Belgium,Total,Percentage,From 15 to 19 years,EU15-countries except reporting country,:,u
2006,Belgium,Total,Percentage,From 15 to 19 years,Reporting country,28.4,
2006,Belgium,Total,Percentage,From 15 to 19 years,Total,28.8,
2006,Belgium,Total,Percentage,From 15 to 24 years,EU15-countries except reporting country,25.8,u
2006,Belgium,Total,Percentage,From 15 to 24 years,Reporting country,19.5,
2006,Belgium,Total,Percentage,From 15 to 24 years,Total,20.5,
2006,Belgium,Total,Percentage,From 15 to 29 years,EU15-countries except reporting country,19.8,
2006,Belgium,Total,Percentage,From 15 to 29 years,Reporting country,13.4,
2006,Belgium,Total,Percentage,From 15 to 29 years,Total,14.6,
2006,Belgium,Total,Percentage,From 20 to 24 years,EU15-countries except reporting country,25.8,u
2006,Belgium,Total,Percentage,From 20 to 24 years,Reporting country,18.1,
2006,Belgium,Total,Percentage,From 20 to 24 years,Total,19.2,
2006,Belgium,Total,Percentage,From 20 to 29 years,EU15-countries except reporting country,19.4,
2006,Belgium,Total,Percentage,From 20 to 29 years,Reporting country,12.5,
2006,Belgium,Total,Percentage,From 20 to 29 years,Total,13.7,
2006,Belgium,Total,Percentage,From 25 to 29 years,EU15-countries except reporting country,16.2,u
2006,Belgium,Total,Percentage,From 25 to 29 years,Reporting country,8.6,
2006,Belgium,Total,Percentage,From 25 to 29 years,Total,10.1,
2006,Belgium,Males,Percentage,From 15 to 19 years,EU15-countries except reporting country,:,u
2006,Belgium,Males,Percentage,From 15 to 19 years,Reporting country,26.3,
2006,Belgium,Males,Percentage,From 15 to 19 years,Total,26.4,
2006,Belgium,Males,Percentage,From 15 to 24 years,EU15-countries except reporting country,30.3,u
2006,Belgium,Males,Percentage,From 15 to 24 years,Reporting country,18.1,
2006,Belgium,Males,Percentage,From 15 to 24 years,Total,18.8,
2006,Belgium,Males,Percentage,From 15 to 29 years,EU15-countries except reporting country,20.8,u
2006,Belgium,Males,Percentage,From 15 to 29 years,Reporting country,12.5,
2006,Belgium,Males,Percentage,From 15 to 29 years,Total,13.5,
2006,Belgium,Males,Percentage,From 20 to 24 years,EU15-countries except reporting country,:,u
2006,Belgium,Males,Percentage,From 20 to 24 years,Reporting country,16.6,
2006,Belgium,Males,Percentage,From 20 to 24 years,Total,17.4,
2006,Belgium,Males,Percentage,From 20 to 29 years,EU15-countries except reporting country,20.2,u
2006,Belgium,Males,Percentage,From 20 to 29 years,Reporting country,11.5,
2006,Belgium,Males,Percentage,From 20 to 29 years,Total,12.5,
2006,Belgium,Males,Percentage,From 25 to 29 years,EU15-countries except reporting country,:,u
2006,Belgium,Males,Percentage,From 25 to 29 years,Reporting country,8,
2006,Belgium,Males,Percentage,From 25 to 29 years,Total,9.3,
2006,Belgium,Females,Percentage,From 15 to 19 years,EU15-countries except reporting country,:,u
2006,Belgium,Females,Percentage,From 15 to 19 years,Reporting country,31.8,
2006,Belgium,Females,Percentage,From 15 to 19 years,Total,32.7,
2006,Belgium,Females,Percentage,From 15 to 24 years,EU15-countries except reporting country,:,u
2006,Belgium,Females,Percentage,From 15 to 24 years,Reporting country,21.3,
2006,Belgium,Females,Percentage,From 15 to 24 years,Total,22.6,
2006,Belgium,Females,Percentage,From 15 to 29 years,EU15-countries except reporting country,19,u
2006,Belgium,Females,Percentage,From 15 to 29 years,Reporting country,14.5,
2006,Belgium,Females,Percentage,From 15 to 29 years,Total,15.8,
2006,Belgium,Females,Percentage,From 20 to 24 years,EU15-countries except reporting country,:,u
2006,Belgium,Females,Percentage,From 20 to 24 years,Reporting country,19.9,
2006,Belgium,Females,Percentage,From 20 to 24 years,Total,21.3,
2006,Belgium,Females,Percentage,From 20 to 29 years,EU15-countries except reporting country,18.8,u
2006,Belgium,Females,Percentage,From 20 to 29 years,Reporting country,13.6,
2006,Belgium,Females,Percentage,From 20 to 29 years,Total,15,
2006,Belgium,Females,Percentage,From 25 to 29 years,EU15-countries except reporting country,18.2,u
2006,Belgium,Females,Percentage,From 25 to 29 years,Reporting country,9.4,
2006,Belgium,Females,Percentage,From 25 to 29 years,Total,11,
2006,Bulgaria,Total,Percentage,From 15 to 19 years,EU15-countries except reporting country,:,
2006,Bulgaria,Total,Percentage,From 15 to 19 years,Reporting country,36.6,
2006,Bulgaria,Total,Percentage,From 15 to 19 years,Total,36.6,
2006,Bulgaria,Total,Percentage,From 15 to 24 years,EU15-countries except reporting country,:,
2006,Bulgaria,Total,Percentage,From 15 to 24 years,Reporting country,19.5,
2006,Bulgaria,Total,Percentage,From 15 to 24 years,Total,19.5,
2006,Bulgaria,Total,Percentage,From 15 to 29 years,EU15-countries except reporting country,:,
2006,Bulgaria,Total,Percentage,From 15 to 29 years,Reporting country,14.5,
2006,Bulgaria,Total,Percentage,From 15 to 29 years,Total,14.5,
2006,Bulgaria,Total,Percentage,From 20 to 24 years,EU15-countries except reporting country,:,
2006,Bulgaria,Total,Percentage,From 20 to 24 years,Reporting country,16.3,
2006,Bulgaria,Total,Percentage,From 20 to 24 years,Total,16.3,
2006,Bulgaria,Total,Percentage,From 20 to 29 years,EU15-countries except reporting country,:,
2006,Bulgaria,Total,Percentage,From 20 to 29 years,Reporting country,12.8,
2006,Bulgaria,Total,Percentage,From 20 to 29 years,Total,12.8,
2006,Bulgaria,Total,Percentage,From 25 to 29 years,EU15-countries except reporting country,:,
2006,Bulgaria,Total,Percentage,From 25 to 29 years,Reporting country,10.3,
2006,Bulgaria,Total,Percentage,From 25 to 29 years,Total,10.3,
2006,Bulgaria,Males,Percentage,From 15 to 19 years,EU15-countries except reporting country,:,
2006,Bulgaria,Males,Percentage,From 15 to 19 years,Reporting country,34.5,u
2006,Bulgaria,Males,Percentage,From 15 to 19 years,Total,34.5,u
2006,Bulgaria,Males,Percentage,From 15 to 24 years,EU15-countries except reporting country,:,
2006,Bulgaria,Males,Percentage,From 15 to 24 years,Reporting country,18.9,
2006,Bulgaria,Males,Percentage,From 15 to 24 years,Total,18.9,
2006,Bulgaria,Males,Percentage,From 15 to 29 years,EU15-countries except reporting country,:,
2006,Bulgaria,Males,Percentage,From 15 to 29 years,Reporting country,13.7,
2006,Bulgaria,Males,Percentage,From 15 to 29 years,Total,13.7,
2006,Bulgaria,Males,Percentage,From 20 to 24 years,EU15-countries except reporting country,:,
2006,Bulgaria,Males,Percentage,From 20 to 24 years,Reporting country,16.4,
2006,Bulgaria,Males,Percentage,From 20 to 24 years,Total,16.4,
2006,Bulgaria,Males,Percentage,From 20 to 29 years,EU15-countries except reporting country,:,
2006,Bulgaria,Males,Percentage,From 20 to 29 years,Reporting country,12.4,
2006,Bulgaria,Males,Percentage,From 20 to 29 years,Total,12.4,
2006,Bulgaria,Males,Percentage,From 25 to 29 years,EU15-countries except reporting country,:,
2006,Bulgaria,Males,Percentage,From 25 to 29 years,Reporting country,9.5,
2006,Bulgaria,Males,Percentage,From 25 to 29 years,Total,9.5,
2006,Bulgaria,Females,Percentage,From 15 to 19 years,EU15-countries except reporting country,:,
2006,Bulgaria,Females,Percentage,From 15 to 19 years,Reporting country,38.5,
2006,Bulgaria,Females,Percentage,From 15 to 19 years,Total,38.5,
2006,Bulgaria,Females,Percentage,From 15 to 24 years,EU15-countries except reporting country,:,
2006,Bulgaria,Females,Percentage,From 15 to 24 years,Reporting country,20.3,
2006,Bulgaria,Females,Percentage,From 15 to 24 years,Total,20.3,
2006,Bulgaria,Females,Percentage,From 15 to 29 years,EU15-countries except reporting country,:,
2006,Bulgaria,Females,Percentage,From 15 to 29 years,Reporting country,15.5,
2006,Bulgaria,Females,Percentage,From 15 to 29 years,Total,15.4,
2006,Bulgaria,Females,Percentage,From 20 to 24 years,EU15-countries except reporting country,:,
2006,Bulgaria,Females,Percentage,From 20 to 24 years,Reporting country,16.3,
2006,Bulgaria,Females,Percentage,From 20 to 24 years,Total,16.3,
2006,Bulgaria,Females,Percentage,From 20 to 29 years,EU15-countries except reporting country,:,
2006,Bulgaria,Females,Percentage,From 20 to 29 years,Reporting country,13.3,
2006,Bulgaria,Females,Percentage,From 20 to 29 years,Total,13.3,
2006,Bulgaria,Females,Percentage,From 25 to 29 years,EU15-countries except reporting country,:,
2006,Bulgaria,Females,Percentage,From 25 to 29 years,Reporting country,11.3,
2006,Bulgaria,Females,Percentage,From 25 to 29 years,Total,11.3,
2006,Czech Republic,Total,Percentage,From 15 to 19 years,EU15-countries except reporting country,:,
2006,Czech Republic,Total,Percentage,From 15 to 19 years,Reporting country,38.6,
2006,Czech Republic,Total,Percentage,From 15 to 19 years,Total,38.7,
2006,Czech Republic,Total,Percentage,From 15 to 24 years,EU15-countries except reporting country,:,
2006,Czech Republic,Total,Percentage,From 15 to 24 years,Reporting country,17.5,
2006,Czech Republic,Total,Percentage,From 15 to 24 years,Total,17.5,
2006,Czech Republic,Total,Percentage,From 15 to 29 years,EU15-countries except reporting country,:,
2006,Czech Republic,Total,Percentage,From 15 to 29 years,Reporting country,11,
2006,Czech Republic,Total,Percentage,From 15 to 29 years,Total,11,
2006,Czech Republic,Total,Percentage,From 20 to 24 years,EU15-countries except reporting country,:,
2006,Czech Republic,Total,Percentage,From 20 to 24 years,Reporting country,14.6,
2006,Czech Republic,Total,Percentage,From 20 to 24 years,Total,14.6,
2006,Czech Republic,Total,Percentage,From 20 to 29 years,EU15-countries except reporting country,:,
2006,Czech Republic,Total,Percentage,From 20 to 29 years,Reporting country,9.5,
2006,Czech Republic,Total,Percentage,From 20 to 29 years,Total,9.5,
2006,Czech Republic,Total,Percentage,From 25 to 29 years,EU15-countries except reporting country,:,
2006,Czech Republic,Total,Percentage,From 25 to 29 years,Reporting country,6.5,
2006,Czech Republic,Total,Percentage,From 25 to 29 years,Total,6.6,
2006,Czech Republic,Males,Percentage,From 15 to 19 years,EU15-countries except reporting country,:,
2006,Czech Republic,Males,Percentage,From 15 to 19 years,Reporting country,38.2,
2006,Czech Republic,Males,Percentage,From 15 to 19 years,Total,38.3,
2006,Czech Republic,Males,Percentage,From 15 to 24 years,EU15-countries except reporting country,:,
2006,Czech Republic,Males,Percentage,From 15 to 24 years,Reporting country,16.7,
2006,Czech Republic,Males,Percentage,From 15 to 24 years,Total,16.6,
2006,Czech Republic,Males,Percentage,From 15 to 29 years,EU15-countries except reporting country,:,
2006,Czech Republic,Males,Percentage,From 15 to 29 years,Reporting country,9.9,
2006,Czech Republic,Males,Percentage,From 15 to 29 years,Total,9.9,
2006,Czech Republic,Males,Percentage,From 20 to 24 years,EU15-countries except reporting country,:,
2006,Czech Republic,Males,Percentage,From 20 to 24 years,Reporting country,13.5,
2006,Czech Republic,Males,Percentage,From 20 to 24 years,Total,13.4,
2006,Czech Republic,Males,Percentage,From 20 to 29 years,EU15-countries except reporting country,:,
2006,Czech Republic,Males,Percentage,From 20 to 29 years,Reporting country,8.4,
2006,Czech Republic,Males,Percentage,From 20 to 29 years,Total,8.4,
2006,Czech Republic,Males,Percentage,From 25 to 29 years,EU15-countries except reporting country,:,
2006,Czech Republic,Males,Percentage,From 25 to 29 years,Reporting country,5.5,
2006,Czech Republic,Males,Percentage,From 25 to 29 years,Total,5.5,
2006,Czech Republic,Females,Percentage,From 15 to 19 years,EU15-countries except reporting country,:,
2006,Czech Republic,Females,Percentage,From 15 to 19 years,Reporting country,39.2,
2006,Czech Republic,Females,Percentage,From 15 to 19 years,Total,39.3,
2006,Czech Republic,Females,Percentage,From 15 to 24 years,EU15-countries except reporting country,:,
2006,Czech Republic,Females,Percentage,From 15 to 24 years,Reporting country,18.6,
2006,Czech Republic,Females,Percentage,From 15 to 24 years,Total,18.7,
2006,Czech Republic,Females,Percentage,From 15 to 29 years,EU15-countries except reporting country,:,
2006,Czech Republic,Females,Percentage,From 15 to 29 years,Reporting country,12.5,
2006,Czech Republic,Females,Percentage,From 15 to 29 years,Total,12.5,
2006,Czech Republic,Females,Percentage,From 20 to 24 years,EU15-countries except reporting country,:,
2006,Czech Republic,Females,Percentage,From 20 to 24 years,Reporting country,16,
2006,Czech Republic,Females,Percentage,From 20 to 24 years,Total,16,
2006,Czech Republic,Females,Percentage,From 20 to 29 years,EU15-countries except reporting country,:,
2006,Czech Republic,Females,Percentage,From 20 to 29 years,Reporting country,11.2,
2006,Czech Republic,Females,Percentage,From 20 to 29 years,Total,11.2,
2006,Czech Republic,Females,Percentage,From 25 to 29 years,EU15-countries except reporting country,:,
2006,Czech Republic,Females,Percentage,From 25 to 29 years,Reporting country,8.1,
2006,Czech Republic,Females,Percentage,From 25 to 29 years,Total,8.1,
2006,Denmark,Total,Percentage,From 15 to 19 years,EU15-countries except reporting country,:,u
2006,Denmark,Total,Percentage,From 15 to 19 years,Reporting country,9.4,
2006,Denmark,Total,Percentage,From 15 to 19 years,Total,9.4,
2006,Denmark,Total,Percentage,From 15 to 24 years,EU15-countries except reporting country,:,u
2006,Denmark,Total,Percentage,From 15 to 24 years,Reporting country,7.6,
2006,Denmark,Total,Percentage,From 15 to 24 years,Total,7.7,
2006,Denmark,Total,Percentage,From 15 to 29 years,EU15-countries except reporting country,:,u
2006,Denmark,Total,Percentage,From 15 to 29 years,Reporting country,6.5,
2006,Denmark,Total,Percentage,From 15 to 29 years,Total,6.7,
2006,Denmark,Total,Percentage,From 20 to 24 years,EU15-countries except reporting country,:,u
2006,Denmark,Total,Percentage,From 20 to 24 years,Reporting country,5.9,
